БИН;Название;Рег. номер (лицензия);Руководитель (ФИО);Адрес;Контакты (тел./email/сайт);Дата включения в реестр;Дата исключения;Основание исключения;Статус
131240003199;"ТОО ""Коллекторское агентство ""Big Almaty Group""";05.К.17.029;Қылышбай Мүрат Абайүлы;Алматы, Бостандыкский район, пр. Райымбека, 160Б, оф 21;8 (727) 346 94 69, www.biggroup.kz info@biggroup.kz;05.12.2017;;;Действующее
210640030908;"ТОО ""Коллекторское агентство ""Big Finance""";02.K.21.016;Досумов Медет Кусманович;050036 г. Алматы, Ауэзовский район, микрорайон 6, дом 27а;"+7 707 979-51-31, kbigfinance@mail.ru; https://bfc.kz";05.08.2021;;;Действующее
210240031317;"ТОО ""Коллекторское агентство ""Big Star""";02.К.21.006;Урынбаев Ержан Ерсайнулы;A05A0D7, г. Алматы, Алмалинский район, микрорайон Тастак-2, дом 21;87761248422, too_bigstar@mail.ru, www.bigstarkollector.kz;26.04.2021;;;Действующее
181140011076;"ТОО ""Коллекторское агентство ""Capital Collection""";05.К.19.001;Лим Алла Борисовна;050012, г. Алматы, Алмалинский район, ул. Толе би, д. 83, 2 этаж, офис 203;+ 7 727 339 89 76, +7 775 007 03 58, info@capitalcollection.kz, www.capitalcollection.kz;03.01.2019;;;Действующее
240440001398;"ТОО ""Коллекторское агентство ""Control Collection""";09.К.24.001;Қалдыбек Шахназ Асанәліқызы;100026/M02F5H2, Карагандинская область, город Караганда, район имени Казыбек би, улица Язева, дом 2, 45,;"8-707-479-36-87; e-mail: controlcollection@mail.ru";03.05.2024;;;Действующее
160240033639;"ТОО ""Коллекторское агентство ""Credit Almaty""";02.К.20.023;Мухтаров Даурен Темирланович;050062, г. Алматы, Ауэзовский район, улица Кабдолова, дом 22Б, офис 607;8-727-356-35-45, info@creditalmatycollection.kz, сайт - www.creditalmatycollection.kz;25.09.2020;;;Действующее
150740001171;"ТОО ""Коллекторское агентство ""CreditKontakt""";05.К.17.034;Өмірбек Тоқжан Өмірбекқызы;050009, г.Алматы, Алмалинский район, ул. Абая, дом 151, офис 609;8 (727) 339 79 79, 8-702-929-7229 info@creditkontakt.kz, creditkontakt.kz@gmail.com, creditkontakt.kz@bk.ru, creditkontakt.kz,toocreditkontakt@gmail.com;12.12.2017;;;Действующее
230340016221;"ТОО ""Коллекторское агентство ""Debt Collection Services""";08.К.23.002;Нұрлыбай Меруерт Есжанқызы;080000, г. Тараз, проспект Толе би, строение 93;+7 775 031 66 65, info@debtcollect.kz, www.debtcollect.kz;03.10.2023;;;Действующее
200540019961;"ТОО ""Коллекторское агентство ""Diplomat collection""";32.К.20.001;Баратов Бауыржан Галиякпарович;140000, Павлодарская область, г.Павлодар, ул.Ворушина,26 Б 140000, Павлодарская область, г.Павлодар, ул. М.Жусупа д.189, оф.307;Номер телефона сот. тел: 87029942070, e-mail: dipkollect@mail.ru;25.08.2020;;;Действующее
180240036121;"ТОО ""Коллекторское агентство ""ENLEX""";18.К.18.001;Рымбек Ақбөпе Аманкелдіқызы;100012, Карагандинская область, г. Караганда, ул. Ерубаева, дом №50 А, нежилое помещение №6;"8 778 156 71 32; enlex2020@mail.ru";28.04.2018;;;Действующее
210740000107;"ТОО ""Коллекторское агентство ""Eagle""";01.К.21.007;Тлеулесов Бигали Жаксылыкович;г.Астана, улица Мәлік Ғабдуллин, дом 12/1, кв.89;8 7172 505 833, 8 707 847 29 64 электронная почта: ka_eagle@mail.ru;13.08.2021;;;Действующее
210940005155;"ТОО ""Коллекторское агентство ""Everest""";01.К.21.008;Байрамов Микаил Эльшан Оглы;г. Алматы, Ауэзовский р-н., ул. Толе би, д. 302а, оф. 110;8 707 749 08 53, kaeverest.016@gmail.com, www.everest-collect.kz;10.11.2021;;;Действующее
240140027211;"ТОО ""Коллекторское агентство ""F Collect""";02.K.24.004;Шаймахан Жансая Аббасқызы;000050, Алматы, Алмалинский район, пр. Сейфуллина 404/67, корпус №1, офисное помещение № 305;"8-708-007-14-17; info@fcollect.kz";14.03.2024;;;Действующее
210840003175;"ТОО ""Коллекторское агентство ""FD Collection""";02.K.21.018;Кузембаев Ерлан Серикович;050000, г. Алматы, Алмалинский район, улица Байзакова, дом 125, офис 500;+7 705 956 00 86, office@fdc.kz, www.FDC.kz;22.09.2021;;;Действующее
231140010753;"ТОО ""Коллекторское агентство ""Fast Collection""";02.K.23.015;Абдримова Альбина Владимировна;050051, г.Алматы, Медеуский район, проспект Достык, дом 140, офис 8;"8 771 704 49 08; fastcollectionllp@yandex.kz; fastcollection2@mail.ru";11.12.2023;;;Действующее
190940008768;"ТОО ""Коллекторское агентство ""Field контроль""";05.К.19.023;Уразыметов Ихтияр Эркенович;г. Тараз, проспект Толе би, строение 93, почтовый индекс 080000;"+7 702 052 1515, info@field-control.kz; www.field-control.kz";19.11.2019;;;Действующее
200640033396;"ТОО ""Коллекторское агентство ""Finance Elite""";02.К.20.021;Смамагзумова Индира Ахметкановна;050000, г. Алматы, Турксибский район, ул.Дунентаева, дом № 8Б;8-747-811-3425, finance_elite@mail.ru, finance-elite.kz;24.09.2020;;;Действующее
210140015565;"ТОО ""Коллекторское агентство ""Finance Tower""";17.К.21.004;Нурхалиев Ислам Сарсенович;050040, г. Алматы, Бостандыкский район, проспект Аль-фараби, дом 77/2, кв.37;8-707--555-2888, 8-701-757-6276 financetower@mail.ru;02.03.2021;;;Действующее
220240001961;"ТОО ""Коллекторское агентство ""Freedom TM""";17.К.22.001;Абдураимов Фахриддин Абдусаттарович;РК, Казахстан, г. Шымкент, район Каратау, Жилой массив Сайрам, улица Шахат ата, дом 68, почтовый индекс 160024;8-705-173-19-99, freedom_tm@list.kz, http://kollektorskoe.kz;22.04.2022;;;Действующее
210440000433;"ТОО ""Коллекторское агентство ""Gallus Finance""";17.К.23.004;Таттибаев Сапаргали Бекбулатович;Казахстан, г. Шымкент, Аль-Фарабийский район, улица Мухамед Хайдар Дулати, здание 201А, почтовый индекс 160000;8-775-031-66-66, info@gallus-finance.kz, http:// www.Gallus-finance.kz;01.09.2023;;;Действующее
180240039888;"ТОО ""Коллекторское агентство ""Garant Collection""";05.К.18.016;Буркитбаев Даулет Лукпанович;г. Атырау, мкр. Балықшы, проезд Білге Қаған, дом 1Б;"8-707-777-7663 info@garantcollection.kz; www.garantcollection.kz;";11.06.2018;;;Действующее
211040024230;"ТОО ""Коллекторское агентство ""Gold collection capital-2050""";08.К.22.001;Раушанов А.А.;"080000, Жамбылская область, г. Тараз, Ы.Сулейменова, 16 ""Г""";+7 771 969 66 60 gold_collection_capital@bk.ru;12.04.2022;;;Действующее
210640030713;"ТОО ""Коллекторское агентство ""GoldStar""";02.K.23.009;Кенжебаева Жанар Бекжигитовна;050040, г. Алматы, Бостандыкский район, бульвар Бухар Жырау, дом 32;8-701-500-00-66, too_goldenst@mail.ru, starcollector.kz;08.06.2023;;;Действующее
220740020976;"ТОО ""Коллекторское агентство ""HALL""";17.К.22.003;ИСМАИЛОВ АЙБЕК КУАТОВИЧ;050000, г.Алматы, Бостандыкский район, пр. Аль-Фараби, 21, н.п. 1196;8-708-889-9979, 220740020976@mail.ru, https://everest-01.kz;21.12.2022;;;Действующее
180140020449;"ТОО ""Коллекторское агентство ""Hard""";58.К.18.006;Гончар Денис Георгиевич;Юридический адрес: г.Шымкент, Енбекшинский район, пр.Тауке хана, 148, фактический адрес: г.Шымкент, Енбекшинский район, проспект Тауке хана, здание 148;"тел. +7 778 888 90 20 ka-hard@mail.ru; www.hard-collector.kz";02.04.2018;;;Действующее
200840024621;"ТОО ""Коллекторское агентство ""ID Collect (АйДи Коллект)""";02.К.20.027;Зайцева Маргарита Владимировна;050008, г. Алматы, ул. Шевченко 162/7, 4 этаж;8 700 003 77 33, info@idcollect.kz, www.idcollect.kz;26.10.2020;;;Действующее
240440017017;"ТОО ""Коллекторское агентство ""Jetu""";02.K.24.005;Аханов Айдар Талгатович;050070, г. Алматы, р-н Наурызбайский, мкр. Рахат, ул. Култобе, д. 4.;8-707-408-48-86, info@jetu.kz, www.jetu.kz;15.05.2024;;;Действующее
210540032049;"ТОО ""Коллекторское агентство ""KPI""";02.К.21.014;Хурани Камилла Саидовна;050004, г. Алматы, Алмалинский район, проспект Абылай Хана, дом 58, офис 4;8 (747) 505 21 51, info@kkpI.kz, www.kkpi.kz;01.07.2021;;;Действующее
211140003251;"ТОО ""Коллекторское агентство ""Kaz Collect""";02.K.22.005;Едилбаев Ринат Куанышевич;050026, город Алматы, Алмалинский район, ул. Джумалиева, 86;8-777-007-7447 info@kazcollect.kz, kazcollect@mail.ru, kz_collect_hr@mail.ru;28.02.2022;;;Действующее
230640025569;"ТОО ""Коллекторское агентство ""Kaz finance kz""";17.К.23.003;Қонысбай Самал Заитқызы;Казахстан, г. Шымкент, район Туран, Улица Ахмета Байтурсынова, здание 81, почтовый индекс 160011;8-778-080-10-85, ka_kaz_finance_kz@mail.ru, http://kazfinance.kz;31.08.2023;;;Действующее
221040025121;"ТОО ""Коллекторское агентство ""KazGarant""";02.K.23.01;Кененбай Талгат Ильясулы;050009, г. Алматы, Алмалинский район, улица Абая, дом 151/115, офис 608;8-701-555-45-30, kazgarant.kz@mail.ru, kazgarant.com.kz;09.01.2023;;;Действующее
120240013855;"ТОО ""Коллекторское агентство ""KazРост""";58.К.17.005;Муратов Болат Бехбердиевич;юр.адрес: г.Шымкент, Каратауский район, мкр.Нурсат, д.45, кв.2 факт.адрес: г.Шымкент, Аль-Фарабийский район, ул.Токаева, 27А;8(7252) 530449, 8-771-111-5494, 8-775-855-5559 kazrost_ka@gmail.com;18.10.2017;;;Действующее
190940008827;"ТОО ""Коллекторское агентство ""Late контроль""";05.К.19.024;ДЖАРЫКАСЫМОВА ЭЛЬМИРА МАЙКЕНОВНА;050026, г. Алматы, Алмалинский район, улица Муканова, дом 223В, 3-й этаж, офис № 8-12;"8-702-052-13-13; info@late-control.kz; www.late-control.kz";19.11.2019;;;Действующее
151040020869;"ТОО ""Коллекторское агентство ""Legal Collection""";05.К.17.025;Ернияз Қуаныш Бақытұлы;050026, г. Алматы, Ауэзовский район, ул. Кабдолова, дом 16, офис 10/5;+7 707 700 25 52, legal_collection@mail.ru, https://collektor.kz/;22.11.2017;;;Действующее
170940008020;"ТОО ""Коллекторское агентство ""Legal Finance""";05.К.18.004;Смагулова Юлия Ивановна;050000, г. Алматы, Алмалинский район, ул. Гоголя, 253/4;"8-727-356-05-70, вн. 202; almatylegalfinance@gmail.com, https://legalfinance.kz/";06.02.2018;;;Действующее
180540030768;"ТОО ""Коллекторское агентство ""Lexfield""";05.К.18.029;Кенчинбаев Дмитрий Юрьевич;050008, г. Алматы, Алмалинский район, ул. Муканова, д.223В, 4-этаж, офис 6;+ 7 701 730-00-60, info@lexfield.kz, www.lexfield.kz;23.11.2018;;;Действующее
201240009113;"ТОО ""Коллекторское агентство ""Luck Return""";02.К.21.002;Бурдастов Александр Геннадьевич;050061, г. Алматы, Алатауский район, улица Бокеева, дом 128;87055550944, info_luckreturn@mail.ru, www.collect-luckreturn.kz;01.02.2021;;;Действующее
160240015600;"ТОО ""Коллекторское агентство ""MEMo Collect""";05.К.19.018;Серикжан Жандос Аскарулы;050022, г. Алматы, Бостандыкский район, проспект Сейфуллина, дом 597 «А», офис 405а;8 (727) 346-89-11, info@memocollect.kz, www.memocollect.kz;15.11.2019;;;Действующее
171140012855;"ТОО ""Коллекторское агентство ""NUR Collector Kazakhstan""";58.К.17.011;Кайназарова Салтанат Бахытжановна;РК, Казахстан, г. Шымкент, район Аль-Фараби, проспект Тауке хана, 73/1, индекс 160011;"8 747 987 74 74, Nurck.collector@bk.ru; http://www.nur-collector.kz/";11.12.2017;;;Действующее
210440010916;"ТОО ""Коллекторское агентство ""Nova Collection""";02.K.21.012;Акиев Фарух Адилжанович;050012, город Алматы, Алмалинский район, улица Толе Би, дом 73А. Представительство в городе Усть-Каменогорск, ВКО 070016, Усть-Каменогорск, улица Краснознаменная, дом 149Б 100000, Карагандинская область, город Караганда, район имени Казыбек Би, улица Жамбыла, строение 4/13.;+7 776 007 14 15, info@novacollekt.kz, http:/novacollekt.kz;25.06.2021;;;Действующее
220540034037;"ТОО ""Коллекторское агентство ""PRO Collect""";02.K.22.013;Мубараков Тахиржан Юнусжанович;A05F4E4, г. Алматы, Алмалинский район, улица Монгольская, дом 44;8-707-707-78-88, info@procollect.kz, procollect.kz;01.08.2022;;;Действующее
230240000053;"ТОО ""Коллекторское агентство ""Qaz Invest Collection Group""";02.K.23.005;Джазыкбаев Улан Жекенович;050000, Алматы қаласы, Алмалы ауданы, Нұрлы жол көшесі, 16 ғимарат;8 771 713 90 57, qaz-investcg@yandex.kz, qaz-invest.vercel.app;20.03.2023;;;Действующее
160240033490;"ТОО ""Коллекторское агентство ""Qazaq Collector""";05.К.18.010;Калиакпарова Мадина Сериковна;"А15М3Х5, г.Алматы, Бостандыкский район, ул.Мынбаева, 151, Бизнес центр ""VERUM"" (""ВЕРУМ""), четвертый этаж, помещение 46";8 (727) 346-89-11, 8 (701) 716-74-17 www.qazaqcollector.kz info@qazaqcollector.kz;27.03.2018;;;Действующее
190940026210;"ТОО ""Коллекторское агентство ""Qazaqstan collection""";02.K.23.02;Якимченко Антон Сергеевич;050000, г. Алматы, Алмалинский район, улица Байтурсынулы, дом 1А, нежилое помещение 4, этаж 4, офис 5;8-727-355-00-27, vb@qc1.kz, qc1.kz;31.01.2023;;;Действующее
211040033755;"ТОО ""Коллекторское агентство ""RCollect""";02.K.23.004;Жибинов Михаил Станиславович;A25P1P9, г.Алматы, Медеуский район, улица Жангельдина, 31/2, офис 300;8-777-504-07-23 info@rcollect.kz www.https://rcollect.kz/;07.02.2023;;;Действующее
210940017052;"ТОО ""Коллекторское агентство ""REGION-UNION""";02.K.22.004;Балабаев Айдын Серикович;A15E2B5, г.Алматы, Бостандыкский район,Проспект Абая, 68/74 Проспект Абая, 68/74,;"region-collect@mail.ru; region-collect.kz 8-700-666-12-42";22.02.2022;;;Действующее
200240036930;"ТОО ""Коллекторское агентство ""Ramina.pro""";02.К.20.005;Сиетов Шухрат Дильшатович;A26B2P0, г. Алматы, Медеуский район, улица Нусупбекова, дом 32, офис 510;8 707 111 83 81, 122beo@mail.ru, www.ramina.pro;09.04.2020;;;Действующее
190840019363;"ТОО ""Коллекторское агентство ""Rioni Capital""";02.К.20.001;Айтпаев Ануар Муратович;050062, г. Алматы, Ауэзовский район, микрорайон Сайран, дом 14, офис 504/3;+ 7 747 622 74 97, rioni_capital@bk.ru, www.rioni-capital.kz;10.02.2020;;;Действующее
080540019607;"ТОО ""Коллекторское агентство ""Rus&Cо Financial Group""";05.К.17.026;Сундетов Руслан Нурлыханович;050026, г.Алматы, ул. Джумалиева 86, БЦ «Grand Asia» «Б», оф. 21-26, 2;тел: 8 (727) 220-80-44, факс: 8(727)221-62-79, info@crc-office.kz, www.crc-office.kz, https://rfg.kz/;27.11.2017;;;Действующее
220940026457;"ТОО ""Коллекторское агентство ""SF Collect"" (СФ Коллект)";02.K.23.003;Омиржанов Талгат Галымович;050012, г. Алматы, Алмалинский район, проспект Сейфуллина, дом 502, 8 этаж, офис 13/1;8-700-880-0008, info@sfcollect.kz, www.sfcollect.kz;07.02.2023;;;Действующее
210340020088;"ТОО ""Коллекторское агентство ""STS Finance""";02.K.21.007;Газдиев Руслан Сагиратович;050000, г.Алматы, Жетысуский район, ул. Бокейханова. дом 128/1, н.п. 1;8 (701) 250 80 89, info@sts-finance.kz, www.sts-finance.kz;26.04.2021;;;Действующее
220740023504;"ТОО ""Коллекторское агентство ""Sammler""";17.К.22.002;Сауруков Максат Курмангазиевич;г.Шымкент, ул. Бекет Батыр, д.51;Teл:8-708-002-35-64, sammler22@mail.ru;21.09.2022;;;Действующее
211140005129;"ТОО ""Коллекторское агентство ""Standard Plus""";02.K.22.003;Кесикбай Маржан Бекдаулетқызы;050009, г.Алматы, Алмалинский район, ул. Абая, дом 151, офис 609;"8-702-929-72-29, regular.standardplus@gmail.com; office.standardplus@gmail.com";18.01.2022;;;Действующее
240140002642;"ТОО ""Коллекторское агентство ""Tau Collect Group""";02.K.24.002;Рахметов Арман Бахитович;г. Караганда, ул.Университетская д.28/19, кв.66;8 701 110 22 44, 8 771 207 10 55;31.01.2024;;;Действующее
211040005755;"ТОО ""Коллекторское агентство ""Time Life""";32.К.21.001;Сербаева Асель Толегеновна;140000, Павлодарская область, г.Павлодар, ул. М.Жусупа, 189;сот. тел: 87758604390, 87759271401, e-mail: timelife2021@mail.ru;14.12.2021;;;Действующее
180140036425;"ТОО ""Коллекторское агентство ""Ulus""";58.К.18.002;Серікбай Айзада Мұхтарқызы;160000, г.Шымкент, Аль-Фарабийский район, проспект Байдибек би, здание 95 А, почтовый индекс 160000;"+7771 934 36 67, +7701 384 14 14, tooulus@gmail.com; www.kaulus.kz";19.02.2018;;;Действующее
210340014112;"ТОО ""Коллекторское агентство ""Vertex finance""";02.K.21.021;Касенов Мадияр Орынбекович;050031, г.Алматы, Ауэзовский район, улица Толе би, дом 299.;+7-777-272-6251 KA.Vertexfinance@gmail.com, vfinance.kz;26.10.2021;;;Действующее
210340018680;"ТОО ""Коллекторское агентство ""Zan 24""";02.K.21.011;БЕРГЕР ЕКАТЕРИНА НИКОЛАЕВНА;A15E5F3, город Алматы, Бостандыкский район, проспект Гагарина, дом 258В, офис 104;"8-707-020-94-69; zan24kz@mail.ru";16.06.2021;;;Действующее
230840030800;"ТОО ""Коллекторское агентство ""i-Qyzmet""";01.К.23.001;Тисанова Жансая Далелхановна;г. Астана, район Алматы, улица Куйши Дина, 17, офис 608;/+7/777/2062006, /+7/702/2062006 e-mail: info@iqyzmet.kz web-site: https://iqyzmet.kz;20.11.2023;;;Действующее
220840018274;"ТОО ""Коллекторское агентство ""iCollect""";02.К.22.017;Отыншинова Аяна Казиевна;город Алматы, Алмалинский район, Проспект Сейфуллина, дом 404/67, почтовый индекс 050050;8-708-007-15-14, info@icollect.kz;04.10.2022;;;Действующее
230240016634;"ТОО ""Коллекторское агентство ""А-Омега""";08.К.23.001;Кенжалыұлы Айдос;050059, г. Алматы, Медеу район, проспект Аль-Фараби, дом 15 к4В, офис 1003;8 700 372 5050, info@a-omega.kz, http://a-omega.kz/;30.03.2023;;;Действующее
170840010544;"ТОО ""Коллекторское агентство ""АДИЛЕТ-ҚАЗЫНА""";58.К.17.007;Сауруков Максат Курмангазиевич;"Местонахождение; г.Шымкент, Абайский район, ул.Кремлевская, дом 1А, кв.6. Фактический адрес: г.Шымкент, ул.Торекулова, дом 3А, 3-й этаж";"тел. +7 775 653 05 21 Kfa.Adilet@mail.ru; http://Adilet-kazyna.kz";03.11.2017;;;Действующее
200240041997;"ТОО ""Коллекторское агентство ""Авангард финанс""";08.К.20.002;Жикебаев Алмас Сабырович;050067, г. Алматы, Бостандыкский район, проспект Сейфуллина, дом 597А;8-705-926-3939, avangard_finance2020@mail.ru, ka-avangard.kz;08.06.2020;;;Действующее
180340008952;"ТОО ""Коллекторское агентство ""Аврора""";02.К.20.002;Усенова Ритай Анарбековна;050000, г. Алматы, Бостандыкский район, Площадь Республики, дом 13, 6 этаж, офис 600;8-778-555-12-18, 8-778-644-21-76 collector.avrora@gmail.com, www.aurora.com.kz;18.02.2020;;;Действующее
240140038138;"ТОО ""Коллекторское агентство ""Агентство Судебного Взыскания КЗ""";15.К.24.001;Шукалова Мария Михайловна;Казахстан, Северо-Казахстанская область, город Петропавловск, улица Конституции Казахстана, дом 28, почтовый индекс 150000;"8 (7152) 50-20-03, +7-705-178-87-70; info@legalcollection.kz";13.05.2024;;;Действующее
151140017674;"ТОО ""Коллекторское агентство ""Агентство по работе с долгами""";05.К.18.001;Иманқул Меруерт Таңатқызы;050000, Алматы, Алмалинский район, ул. Гоголя, 253/4;8-747-013-4080, 8-701-713-2437, www.ard-1.kz;09.01.2018;;;Действующее
180640010876;"ТОО ""Коллекторское агентство ""Актив Коллекшн""";58.К.18.021;Бурашов Ерболат Ташмухаметович;Местонахождение: 050004, г. Алматы, Алмалинский район, улица Торекулова, дом 68, 8 этаж, кабинет 808;8 705 503 61 62, www.activecollection.kz, info@activecollection.kz;09.08.2018;;;Действующее
