Название суда;Категория;Регион;Председатель/Руководитель;Адрес;Телефоны;E-mail;Режим работы
Специализированный межрайонный суд по делам несовершеннолетних;Суд по делам несовершеннолетних;Акмолинская область;Жуматова Айсулу Умирсериковна;Акмолинская область, г.Кокшетау, ул.Потанина 46 А.;8-7162-55-96-43;030225@sud.kz;
Администратор судов по Акмолинской области;Администратор судов (Судебная администрация);Акмолинская область;Сапарбек Данияр;г.Кокшетау, ул.Горького 39;8-7162-55-97-53;0301@sud.kz;
Актюбинский областной суд;Областной суд;Актюбинская область;Мергалиев Асламбек Амангельдинович;"Актюбинская область, г. Актобе, ул. Сатпаева, 2 ""Б""";8-7132-70-48-00;0401@sud.kz;
Районный суд №2 Мугалжарского района;Городской суд;Актюбинская область;Муканов Аслан Абилгазиевич;Актюбинская область, Мугалжарский район, г.Эмба, ул. Толе би, 1;8-7133-42-24-95;040210@sud.kz;
Суд г.Актобе;Городской суд;Актюбинская область;Сембеков Канат Сейтжаппарович;Актюбинская область, г. Актобе, ул. Сатпаева, 16;8-7132-55-07-01;040203@sud.kz;
Суд № 3 города Актобе Актюбинской области;Городской суд;Актюбинская область;Аманкулова Назира Олжабаевна;Актюбинская область, г. Актобе, ул. Сатпаева, 16;8-7132-56-87-99;713-2160@sud.kz;
Суд №2 г.Актобе;Городской суд;Актюбинская область;Тасымбетов Сейфулла Закарияевич;Актюбинская область, г. Актобе, ул. Сатпаева, 16;8-7132-56-72-46;040204@sud.kz;
Айтекебийский районный суд;Районный суд;Актюбинская область;Аятов Жанибек Салманулы;Актюбинская область, Айтекебийский район, с.Комсомольское, ул. Жибек жолы, 16;8-7133-92-13-73;040205@sud.kz;
Алгинский районный суд;Районный суд;Актюбинская область;Муратканов Исдаур Скиндирович;Актюбинская область,г.Алга, ул. Есет батыра, 26;8-7133-74-14-38;040206@sud.kz;
Байганинский районный суд;Районный суд;Актюбинская область;Куанышев Жанас Базарович;Актюбинская область,Байганинский район, с.Карауыулкелди, ул. Барак батыра, 31;8-71345-22-1-38;040207@sud.kz;
Иргизский районный суд;Районный суд;Актюбинская область;Бақытжан Ерлан Сагинаевич;Актюбинская область,Иргизский район, с.Иргиз, ул. Жангельдина, 25;8-7134-32-13-29;040213@sud.kz;
Каргалинский районный суд;Районный суд;Актюбинская область;Махметов Ермек Жанбырбаевич;"Актюбинская область,Каргалинский район, с.Бадамша, ул. Айтекеби, 25 ""А""";8-7134-22-23-77;040214@sud.kz;
Кобдинский районный суд;Районный суд;Актюбинская область;Сейтжаппаров Жанибек Максутович;Актюбинская область, Кобдинский район, с.Кобда, ул. Сейфуллина, 9;8-7134-12-16-81;040217@sud.kz;
Мартукский районный суд;Районный суд;Актюбинская область;Ногаев Саламат Жетыбаевич;"Актюбинская область, Мартукский район, с.Мартук, ул.Сейфуллина , 17 ""А""";8-7133-12-12-82;040208@sud.kz;
Мугалжарский районный суд;Районный суд;Актюбинская область;Анарбаев Абитхан Темирбаевич;Актюбинская область, Мугалжарский район, г.Кандыагаш, ул. Интернациональная 18;8-7133-33-28-22;040209@sud.kz;
Темирский районный суд;Районный суд;Актюбинская область;Бактыгалиев Нурлан Амантурлиевич;Актюбинская область, Темирский район, п.Шубаркудук, ул. Желтоксан 3/2,;8-7134-62-24-88;040215@sud.kz;
Уилский районный суд;Районный суд;Актюбинская область;Танимова Сауле Зинуллаевна;Актюбинская область, Уилский район, с.Уил, ул. Курманова, 91/1;8-7133-22-10-43;040216@sud.kz;
Хромтауский районный суд;Районный суд;Актюбинская область;Балмуханов Айсултан Жабаевич;"Актюбинская область, Хромтауский район, г.Хромтау, ул. Ауэзова, 1 ""А""";8-7133-62-17-26;040211@sud.kz;
Шалкарский районный суд;Районный суд;Актюбинская область;Бактыгереев Оралбек Абишулы;Актюбинская область, Шалкарский район, г.Шалкар, ул. Есет Котибарулы, 55;8-7133-52-12-57;040212@sud.kz;
Специализированный межрайонный административный суд города Актобе;Специализированный административный суд;Актюбинская область;Бисенова Ляззат Мырзалықызы;Актюбинская область, г. Актобе, ул.Г.Жубановой, 110;-;-;
Специализированный суд по административным правонарушениям города Актобе;Специализированный административный суд;Актюбинская область;Калмухамбетов Амангельды Калижанович;"Актюбинская область, г. Актобе, с.Каргалинское, ул.К.Сатпаева, 10 ""Б""";8-7132-98-52-06;040201@sud.kz;
Специализированный межрайонный экономический суд Актюбинской области;Специализированный экономический суд;Актюбинская область;Дауренбеков Айбек Дауренбекович;"Актюбинская область, г. Актобе, ул. Сатпаева, 8""А""";8-7132-55-25-34;040202@sud.kz;
Специализированный межрайонный суд по уголовным делам Актюбинской области;Суд по уголовным делам;Актюбинская область;Мулдагалиев Ахметкали Капизович;Актюбинская область, г. Актобе, ул. Калдаякова, 34;8-7132-50-23-53;040218@sud.kz;
Специализированный следственный суд города Актобе Актюбинской области;Следственный суд;Актюбинская область;Дуйсен Максат Кудайбергенулы;"Актюбинская область,г.Актобе, ул. К.Рыскулбекова, 49""А""";8-7132-25-27-55;04258@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних Актюбинской области;Суд по делам несовершеннолетних;Актюбинская область;Ормаханов Нурлыбек Бостандыкович;Актюбинская область, г. Актобе, ул. Сатпаева, 16;8-7132-55-06-22;040219@sud.kz;
Военный суд Актюбинского гарнизона;Военный суд;Актюбинская область;Кадиров Шынболат Назаргалиевич;"г.Актобе, ул.Есет батыра, 41 ""Б""";8-7132-50-08-73;040220@sud.kz;
Администратор судов по Актюбинской области;Администратор судов (Судебная администрация);Актюбинская область;Бейсенбаев Баглан Сабыржанулы;"г. Актобе, ул. Сатпаева, 2 Б;";8-7132-70-48-70;0401@sud.kz;
Алматинский областной суд;Областной суд;Алматинская область;Абдыкадыров Елис Нуркасымович;Алматинская область,г.Талдыкорган, ул Тауелсиздик 53 А;8-7282-55-87-50;0501@sud.kz;
Капшагайский городской суд;Городской суд;Алматинская область;Куренбеков Олжас Куатович;Алматинская область, г.Капшагай, ул.Абая, 5;8-72772-4-12-78;050212@sud.kz;
Районный суд № 2 Алакольского района;Городской суд;Алматинская область;И.о. Турехулов Даурен Алибекович;Алматинская область, Алакольский район, с. Кабанбай, ул.Абылайхана, 316;8-72837-4-15-25;050206@sud.kz;
Районный суд № 2 Енбекшиказахского района;Городской суд;Алматинская область;Байболов Ержан Калимолданович;Алматинская область, Енбекшиказахский район, с.Шелек, ул.Абая, 173;8-72776-2-19-91;050208@sud.kz;
Районный суд № 2 Кербулакского района;Городской суд;Алматинская область;Умбетай Абдилла Муваракулы;Алматинская область, Кербулакский район, село Когалы, ул.Табаякова, 33;8-72842-9-11-02;050214@sud.kz;
Талдыкорганский городской суд;Городской суд;Алматинская область;Егеубеков Ермек Ерубекович;Алматинская область, г.Талдыкорган ул.Абылайхана, 116;8-7282-24-04-22;050203@sud.kz;
Текелийский городской суд;Городской суд;Алматинская область;Секербеков Бахытжан Турарбекович;Алматинская область г.Текели, ул.Ауезова, 2 А;8-7283-54-48-20;050220@sud.kz;
Аксуский районный суд;Районный суд;Алматинская область;И.о. Мадиев Азамат Муратович;Алматинская область, Аксуский район, с.Жансугурова, ул.Желтоксан,3 «А»;8-7283-22-18-91;050204@sud.kz;
Алакольский районный суд;Районный суд;Алматинская область;Асаубаева Эльмира Омаровна;Алматинская область, Алакольский район, г.Ушарал, ул.Безродных 22;8-7283-32-20-52;050205@sud.kz;
Енбекшиказахский районный суд;Районный суд;Алматинская область;Абдраимов Азамат Карипжанович;Алматинская область, Енбекшиказахский район, г.Иссык, ул.С.Абдиева, 194;8-72775-4-30-00;050207@sud.kz;
Ескельдинский районный суд;Районный суд;Алматинская область;Садабаева Гульжазира;Алматинская область, Ескельдинский район, п.Карабулак, ул.Балпык би, 110;8-72836-3-16-73;050226@sud.kz;
Жамбылский районный суд;Районный суд;Алматинская область;Устелбаев Есен Телендеевич;Алматинская область, Жамбылский район,с.Узунагаш, ул.Саурык батыра, 196;8-7277-02-11-29;050210@sud.kz;
Илийский районный суд;Районный суд;Алматинская область;Садвакасов Ертаргын Рахимович;Алматинская область, Илийский район, п.Отеген батыр, ул.Батталханова, 14;8-7275-22-16-04;050223@sud.kz;
Карасайский районный суд;Районный суд;Алматинская область;Кошикбаев Мади Жаубасарулы;Алматинская область, Карасайский район, г.Каскелен, ул.Б.Момышулы, 5;8-72771-7-99-03;050224@sud.kz;
Каратальский районный суд;Районный суд;Алматинская область;Талданбаев Шалкар Нургазин;Алматинская область, Каратальский район, г.Уштобе, ул.Абылайхана, 70 «А»;8-7283-42-14-73;050211@sud.kz;
Кегенский районный суд;Районный суд;Алматинская область;И.о. Мылтыкбаева Асем Елемесовна;Алматинская область, Кегенский район, с.Кеген, ул.Райымбек, 63 В;8-72777-2-90-01;050217@sud.kz;
Коксуский районный суд;Районный суд;Алматинская область;Тынысбекова Гаухар Каримовна;Алматинская область, Коксуский район, село Балпык би, ул.Мырзабекова, 38;8-72838-2-06-31;050215@sud.kz;
Панфиловский районный суд;Районный суд;Алматинская область;Күзембай Берік Тілеуғалиұлы;Алматинская область Панфиловский район, г.Жаркент, ул.Головацского, 127 «А»;8-72831-5-18-37;050216@sud.kz;
Райымбекский районный суд;Районный суд;Алматинская область;И.о. Сексенбаев Турсынбай Байбекович;Алматинская область, Райымбекский район, с. Нарынкол, ул.Райымбек, 29;8-7277-92-14-32;050218@sud.kz;
Сарканский районный суд;Районный суд;Алматинская область;И.о. Жукенов Марат Арынович;Алматинская область, Саркандский район, ул.Бугыбай батыра 4;8-72839-2-12-91;050219@sud.kz;
Талгарский районный суд;Районный суд;Алматинская область;Текетаев Максут Нысанбаевич;Алматинская область, Талгарский район, г.Талгар, ул.Гагарина, 90;8-727-295-69-99;050225@sud.kz;
Уйгурский районный суд;Районный суд;Алматинская область;Тульбаев Ерик Абдыкадырович;Алматинская область,Уйгурский район, с.Чунджа, ул.Арзиева, 65;8-72778-2-10-95;050221@sud.kz;
Карасайский специализированный межрайонный суд по административным правонарушениям;Специализированный административный суд;Алматинская область;И.о. Байырбекова Гульзипа Абдулакимовна;Алматинская область,Карасайский район, г.Каскелен, ул.Толе би, 52;8-72773-00-11-17;050209@sud.kz;
Специализированный межрайонный административный суд Алматинской области;Специализированный административный суд;Алматинская область;Нуржанов Аманкельды Ахметович;Алматинская область, г.Талдыкорган пр.Н.Назарбаева, 53А;-;-;
Специализированный межрайонный административный суд №2 Алматинской области;Специализированный административный суд;Алматинская область;Идрисов Мэлс Ермганбетович;Алматинская область,Карасайский район, г.Каскелен, ул.Б.Момышулы, 5;-;-;
Талдыкорганский специализированный межрайонный суд по административным правонарушениям;Специализированный административный суд;Алматинская область;Алдабергенова Эльмира Сатыбалдиевна;Алматинская область, г.Талдыкорган ул Ескелды би, 1;8-7282-32-97-60;050201@sud.kz;
Специализированный межрайонный экономический суд Алматинской области;Специализированный экономический суд;Алматинская область;Кожахметов Берик Акишханович;Алматинская область, г.Талдыкорган ул.Абылайхана, 116;8-7282-24-44-21;050202@sud.kz;
Специализированный межрайонный суд по уголовным делам Алматинской области;Суд по уголовным делам;Алматинская область;Тохтахунов Мухидин Тохтасунович;Алматинская область, г.Талдыкорган, ул.Каблиса Жырау, 69;8-7282-24-18-56;050227@sud.kz;
Специализированный следственный суд г.Талдыкорган Алматинской области;Следственный суд;Алматинская область;Алдабергенов Айдын Сайлаубекович;Алматинская область, г.Талдыкорган, ул Тауелсиздик 53 А;8-7282-55-87-64;050258@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних №1 Алматинской области;Суд по делам несовершеннолетних;Алматинская область;Нусипова Жанна Дуйсенхановна;Алматинская область, г.Талдыкорган, ул.Каблиса Жырау, 69;8-7282-24-28-40;050228@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних №2 Алматинской области;Суд по делам несовершеннолетних;Алматинская область;Беимбетова Жанар Адайбековна;Алматинская область, Карасайский район, г.Каскелен, ул.Б.Момышулы, 5;8-7277-17-99-28;050229@sud.kz;
Администратор судов Алматинской области;Администратор судов (Судебная администрация);Алматинская область;Бурашев Манас Серикович;г.Талдыкорган, ул Тауелсиздик 53 А,;8 -7282-55-87-80;728-0009@sud.kz;
Атырауский областной суд;Областной суд;Атырауская область;Жумагулов Бауыржан Турсунович;Атырауская область, г.Атырау ул.Сатпаева 62;8-7122-55-82-22;0601@sud.kz;
Атырауский городской суд;Городской суд;Атырауская область;Жақсылық Жасұлан Берікұлы;Атырауская область, г.Атырау ул.Сатпаева 3;8-7122-21-57-80;060203@sud.kz;
Суд №2 города Атырау;Городской суд;Атырауская область;Нагашыбаев Мирамбек Ибрагимулы;Атырауская область, г.Атырау, ул. Махамбета 118 Д;8-7122-32-28-33;060204@sud.kz;
Жылыойский районный суд;Районный суд;Атырауская область;Жумабаев Болатбек Бактыгалиевич;Атырауская область, г.Кульсары, ул.И.Тайманова 5;8-71237-5-16-26;060205@sud.kz;
Индерский районный суд;Районный суд;Атырауская область;Хабаров Жанат Саматович;Атырауская область,Индерский район, село Индерборский ул. Сатпаева, 16;8-71234-2-19-57;060209@sud.kz;
Исатайский районный суд;Районный суд;Атырауская область;И.о. Мухаметова Жазира Ержановна;Атырауская область, Исатайский район, село Аккистау, улица Егеменди Казахстан,10А;8-71231-2-05-46;060210@sud.kz;
Курмангазинский районный суд;Районный суд;Атырауская область;Амангалиев Ерболат Каллешович;Атырауская область, Курмангазинский район, село Курмангазы, ул.Нажмеденова, 24;8-71233-2-15-73;060206@sud.kz;
Кызылкогинский районный суд;Районный суд;Атырауская область;Досмагамбетова Айтжан Багитжановна;Атырауская область, Кызылкогинский район, село Миялы, улица Абая, дом 6;8-71238-2-11-37;060211@sud.kz;
Макатский районный суд;Районный суд;Атырауская область;Чингисов Галым Ануарович;Атырауская область, Макатский район, пос. Макат, ул. Мукашева, 32;8-71239-3-04-44;060208@sud.kz;
Махамбетский районный суд;Районный суд;Атырауская область;Кадыргалиев Базаргали Мамышевич;Атырауская область. Махамбетский район, село Махамбет ул. Абая, 27;8-71236-2-20-65;060207@sud.kz;
Специализированный межрайонный административный суд г. Атырау;Специализированный административный суд;Атырауская область;Абдолов Нурбол Досжанович;Атырауская область, г.Атырау, ул.Сатбаева, 3Б;-;-;
Специализированный суд по административным правонарушениям г. Атырау;Специализированный административный суд;Атырауская область;Абдугалиева Самал Сарсенбековна;Атырауская область, г.Атырау, пр.Азаттык 140;8-7122-45-62-72;060201@sud.kz;
Специализированный межрайонный экономический суд Атырауской области;Специализированный экономический суд;Атырауская область;Жансыкбаев Рустем Ильянович;Атырауская область, г.Атырау ул.Сатпаева 3;8-7122-20-18-18;060202@sud.kz;
Специализированный межрайонный суд по уголовным делам Атырауской области;Суд по уголовным делам;Атырауская область;Даулетова Гульмира Бердешовна;Атырауская область, г.Атырау, пр. Азаттык,140;8-7122-45-69-42;060212@sud.kz;
Специализированный следственный суд города Атырау Атырауской области;Следственный суд;Атырауская область;Дюсебалиева Бахытгуль Сагиновна;Атырауская область, г.Атырау, пр.Азаттык 140;8-7122-45-62-11;060258@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних Атырауской области;Суд по делам несовершеннолетних;Атырауская область;Ташенова Айгуль Куанышевна;Атырауская область, г.Атырау, пр. Азаттык,140;8-7122-45-69-31;060213@sud.kz;
Администратор судов по Атырауской области;Администратор судов (Судебная администрация);Атырауская область;Джумагалиева Гульжан Махсотовна;Атырауская область, г.Атырау, ул.Сатпаева 62;8-7122-55-82-22;0601@sud.kz;
Восточно-Казахстанский областной суд;Областной суд;Восточно-Казахстанская область;И.о. Чакпантаев Кайрат Муратович;Восточно-Казахстанская область, г. Усть-Каменогорск, ул. Ю. Увалиева 5;8-7232-56-04-26;1601@sud.kz;
Курчатовский городской суд;Городской суд;Восточно-Казахстанская область;Рауясова Эльмира Зайнеловна;Восточно-Казахстанская область, г.Курчатов, ул. Абая 16;8-7225-13-37-94;160220@sud.kz;
Районный суд №2 Жарминского района;Городской суд;Восточно-Казахстанская область;Адильжанов Тлеухан Советханович;Восточно-Казахстанская область, г.Шар, ул. Амангелды 116;8-7234-52-11-72 8-7234-52-11-20 8-7234-52-10-05;160230@sud.kz;
Районный суд №2 Катон-Карагайского района;Городской суд;Восточно-Казахстанская область;И.о. Кудербаева Гульнар Турсынгаливна;Восточно-Казахстанская область,Катон-Карагайский район, с. Катон-Карагай, ул. Абая 73/1;8-7234-22-14-54;160218@sud.kz;
Районный суд №2 Кокпектинского района;Городской суд;Восточно-Казахстанская область;Қаджиақпаров Біржан Кұатұлы;Восточно-Казахстанская область, Кокпектинский район, с. Самарское, ул. Астана 98;8-7233-33-30-75;160224@sud.kz;
Районный суд №2 Курчумского района;Городской суд;Восточно-Казахстанская область;Омаров Руслан Еркинбекович;Восточно-Казахстанская область, Курчумский район, с. Теректы, ул. Б.Момышулы 17;8-7234-32-12-50;160235@sud.kz;
Районный суд №2 Тарбагатайского района;Городской суд;Восточно-Казахстанская область;И.о. Баятар Жамбыл Асадинұлы;Восточно-Казахстанская область,Тарбагатайский район, с.Акжар, ул.Байжигит 73;8-7234-42-13-42;160215@sud.kz;
Районный суд №2 Уланского района;Городской суд;Восточно-Казахстанская область;Амхеджанов Серикбосын Калиханович;Восточно-Казахстанская область, Уланский район, с. Таврическое, ул. Луговой 14;8-7233-42-05-98;160234@sud.kz;
Районный суд №2 Урджарского района;Городской суд;Восточно-Казахстанская область;Молдабаев Миржан Даулетович;Восточно-Казахстанская область,Урджарский район, с. Маканчи, ул. Озмителя 19;8-7223-94-15-78;160222@sud.kz;
Районный суд №2 района Алтай;Городской суд;Восточно-Казахстанская область;Костубаев Ерлан Мырзатаевич;Восточно-Казахстанская область, г.Серебрянск, ул. Веденеева16;8-7233-72-52-53 8-7233-72-52-81 8-7233-72-51-50;160227@sud.kz;
Риддерский городский суд;Городской суд;Восточно-Казахстанская область;Оспанова Галия Женисовна;Восточно-Казахстанская область, г.Риддер, ул. Тохтарова 6 а;8-7233-64-22-20;160211@sud.kz;
Семейский городской суд;Городской суд;Восточно-Казахстанская область;Абдикаримов Нуржан Бейбитбекович;Восточно-Казахстанская область, г.Семей, ул. Кабанбай батыра 22;8-7222-60-10-01;160206@sud.kz;
Суд № 2 города Семей;Городской суд;Восточно-Казахстанская область;Абенова Жанат Тлеубаевна;Восточно-Казахстанская область, г.Семей, пл. Мелкомбината 1;8-7222-33-86-99;160207@sud.kz;
Суд №2 города Усть-Каменогорск;Городской суд;Восточно-Казахстанская область;Ибраев Сайран Муфлинұлы;Восточно-Казахстанская область, г. Усть-Каменогорск, ул.Бажова 2.;8-7232-22-48-71;160204@sud.kz;
Усть-Каменогорский городской суд;Городской суд;Восточно-Казахстанская область;Шериязданов Рашат Исламович;Восточно-Казахстанская область, г. Усть-Каменогорск, ул. К.Кайсенова 55;8-7232-26-66-87;160203@sud.kz;
Абайский районный суд;Районный суд;Восточно-Казахстанская область;Адильбеков Ербол Елибекович;Восточно-Казахстанская область, Абайский район, с. Караул, ул. Абая 47;8-7225-29-12-40;160213@sud.kz;
Аягузский районный суд;Районный суд;Восточно-Казахстанская область;Мергембаев Бергали Нургалиевич;Восточно-Казахстанская область,, г. Аягоз, бульвар Абая 18/2;8-7223-73-27-56;160216@sud.kz;
Бескарагайский районный суд;Районный суд;Восточно-Казахстанская область;Калиев Ардак Серикбосынович;Восточно-Казахстанская область, Бескарагайский район, с. Бескарагай, ул. Ауэзова 41;8-7223-69-12-67;160201@sud.kz;
Бородулихинский районный суд;Районный суд;Восточно-Казахстанская область;И.о. Токшекенов Ербол Есекенович;Восточно-Казахстанская область, Бородулихинский район, с. Бородулиха, ул. Колхозная 1;8-7235-12-12-51;160231@sud.kz;
Глубоковский районный суд;Районный суд;Восточно-Казахстанская область;Жансеит Серик Жансеитулы;Восточно-Казахстанская область,Глубоковский район, п. Глубокое, ул. Пирогова 21;8-7233-12-33-26;160219@sud.kz;
Жарминский районный суд;Районный суд;Восточно-Казахстанская область;И.о. Садуакасова Айгуль Мухаевна;Восточно-Казахстанская область,Жарминский район, с. Калбатау, ул. Бабатайулы 34;8-7234-76-58-78;160229@sud.kz;
Зайсанский районный суд;Районный суд;Восточно-Казахстанская область;Хасенбаев Нияз Зиядабекулы;Восточно-Казахстанская область, г. Зайсан, ул. Кондюрина 1;8-7234-02-13-60;160232@sud.kz;
Катон-Карагайский районный суд;Районный суд;Восточно-Казахстанская область;И.о. Нурсапинов Нурлан Серикканович;Восточно-Казахстанская область, Катон-Карагайский район, с. Улькен Нарын, ул. Абылайхана 86;8-7234-12-14-45;160217@sud.kz;
Кокпектинский районный суд;Районный суд;Восточно-Казахстанская область;Жаныбекова Нургуль Бериккановна;Восточно-Казахстанская область, Кокпектинский район, с.Кокпекты, ул. Кабанбай Батыра 65 а;8-72348-2-11-39;160223@sud.kz;
Курчумский районный суд;Районный суд;Восточно-Казахстанская область;Байжумин Нурлан Болтанович;Восточно-Казахстанская область, Курчумский район, с. Курчум, ул. Бауыржана-Момышулы 11 а;8-7233-93-18-75;160233@sud.kz;
Суд района Алтай;Районный суд;Восточно-Казахстанская область;Садыкова Айнур Камзабековна;Восточно-Казахстанская область,г.Зыряновск, ул. Стахановская 9/1;8-7233-56-39-09;160225@sud.kz;
Тарбагатайский районный суд;Районный суд;Восточно-Казахстанская область;Садуакасова Кабира Мухамедсагиевна;Восточно-Казахстанская область,Тарбагатайский район, с. Аксуат, ул. Абылайхана13;8-7234-62-14-46;160214@sud.kz;
Уланский районный суд;Районный суд;Восточно-Казахстанская область;Али Аскар Мухаметжанулы;Восточно-Казахстанская область, Уланский район, п. К.Кайсенова, ул. Нуржау 1;8-7233-82-71-77;160228@sud.kz;
Урджарский районный суд;Районный суд;Восточно-Казахстанская область;Оспанова Шынар Омыркалыевна;Восточно-Казахстанская область, Урджарский район, с. Урджар, ул. Шынгожа Батыра 68 Б;8-7223-03-34-45;160221@sud.kz;
Шемонаихинский районный суд;Районный суд;Восточно-Казахстанская область;И.о. Федосова Лариса Александровна;Восточно-Казахстанская область, г.Шемонаиха, ул.Астафьева 55 Б;8-7233-23-24-13;160209@sud.kz;
Специализированный административный суд г. Риддер;Специализированный административный суд;Восточно-Казахстанская область;Жунусова Жанат Ниеткабыловна;Восточно-Казахстанская область, г.Риддер, ул.Тохтарова 15;8-7233-64-44-42;160212@sud.kz;
Специализированный межрайонный административный суд г. Семей;Специализированный административный суд;Восточно-Казахстанская область;Мукашева Назгуль Кенжешовна;Восточно-Казахстанская область, г.Семей, ул. Мангилик Ел, 26;-;-;
Специализированный межрайонный административный суд г. Усть-Каменогорск;Специализированный административный суд;Восточно-Казахстанская область;Амерханов Ернар Аскарбекович;Восточно-Казахстанская область, г.Усть-Каменогорск, пр. Шакарима, 60;-;-;
